x,y,radius
789,190,11.5
596,164,12.0
65,860,8.0
148,648,7.5
957,823,13.5
10,982,9.5
307,524,9.5
28,524,6.0
147,296,10.5
238,99,11.0
205,513,9.0
467,852,11.0
176,73,9.5
931,561,12.0
308,106,11.0
245,679,9.0
495,43,10.0
392,186,7.0
427,216,14.0
193,957,13.0
929,885,11.5
910,99,13.5
520,956,5.5
390,275,10.0
584,955,10.5
542,144,5.0
172,26,11.5
768,202,7.0
24,205,10.5
726,767,6.5
917,648,10.0
856,620,9.5
105,374,12.5
327,726,7.0
279,560,10.0
124,710,6.5
718,240,8.0
493,522,9.0
116,440,7.5
41,633,11.0
561,690,12.5
254,412,9.5
208,934,9.5
691,873,8.5
801,630,11.0
457,222,7.5
885,538,9.5
128,358,8.5
115,231,7.0
11,355,11.0
16,510,9.5
485,687,12.5
341,933,11.0
226,556,13.0
365,963,8.5
709,153,7.5
46,607,10.5
63,284,13.0
631,676,11.5
489,976,9.0
591,85,6.0
242,723,10.0
470,974,9.0
535,98,9.5
154,508,5.0
46,589,6.5
224,708,7.0
231,642,9.5
934,399,7.0
930,142,7.0
728,217,14.5
871,261,7.5
516,265,10.0
102,887,12.0
875,194,9.0
352,721,10.5
847,406,12.0
638,94,12.5
780,666,8.0
22,112,13.5
961,289,12.5
649,229,9.5
185,369,10.0
842,654,10.0
541,508,6.5
269,248,9.0
969,487,10.0
628,789,8.5
857,235,9.5
285,34,11.0
53,984,10.5
943,905,11.5
740,939,15.0
430,954,13.0
848,297,6.5
197,273,10.0
177,555,12.5
839,924,6.5
107,612,13.0
362,260,12.5
869,735,11.0
698,362,10.0
299,420,7.0
860,905,9.0
15,625,10.5
787,879,13.5
36,577,9.0
669,330,7.0
541,290,8.5
851,256,12.0
818,362,7.0
330,820,10.5
219,621,6.5
833,201,12.0
540,636,5.0
138,962,8.0
49,400,9.0
440,89,13.0
189,87,7.5
691,410,10.5
905,443,12.0
656,285,12.5
516,654,7.0
608,421,12.5
565,163,7.0
54,48,9.0
699,474,9.0
757,800,10.5
181,435,13.0
57,939,10.5
54,377,10.5
925,501,9.5
655,169,9.0
936,937,8.0
583,930,10.5
673,571,10.0
459,544,9.5
623,814,8.5
898,201,9.0
219,379,8.0
106,677,14.5
652,387,10.5
32,808,10.0
425,566,15.0
726,135,10.5
768,345,14.0
560,243,8.5
747,751,6.0
379,533,6.0
821,322,7.0
106,60,8.0
322,942,8.5
482,493,7.0
449,296,8.0
552,220,13.0
786,784,8.5
919,961,13.0
548,442,10.5
961,685,8.0
615,110,11.5
398,885,8.5
87,90,7.0
579,855,11.0
242,898,11.5
749,377,7.0
481,380,8.5
425,899,8.5
435,257,8.5
469,64,9.0
737,676,13.0
952,377,10.5
91,527,10.5
952,23,11.5
554,327,13.0
527,982,10.5
85,174,12.0
691,455,11.0
693,386,9.5
456,618,8.5
175,644,8.5
356,581,11.5
454,44,13.0
679,171,13.5
86,929,12.5
722,611,6.5
89,870,8.0
378,804,10.0
976,379,9.5
383,961,9.0
567,74,12.5
416,277,8.5
533,744,11.0
554,764,7.5
246,211,10.5
943,603,12.0
476,824,10.0
846,551,7.5
94,787,8.0
141,38,10.0
781,637,5.5
218,142,9.0
632,553,13.5
897,350,8.5
451,901,11.0
619,854,11.5
791,460,9.0
492,263,10.0
349,213,7.5
137,136,11.0
402,693,10.0
187,348,9.5
865,514,11.5
179,199,11.0
351,43,12.5
129,461,12.0
885,137,11.5
686,47,9.0
511,166,13.5
800,744,8.5
977,535,9.5
484,616,9.5
530,717,7.5
48,258,13.0
683,837,10.5
247,273,9.5
834,96,8.5
130,879,14.0
474,356,6.5
498,97,12.5
584,739,12.5
562,381,12.5
365,642,10.5
248,498,7.5
603,242,10.5
67,833,13.0
524,411,6.0
989,890,7.5
957,856,13.0
720,817,6.0
556,570,6.5
961,707,7.0
507,247,9.5
703,762,10.0
60,339,10.0
547,548,8.5
754,593,10.5
604,788,9.0
920,823,11.0
409,928,5.0
933,184,5.0
918,717,9.0
775,821,10.0
205,168,7.0
191,239,7.5
522,361,9.0
587,681,5.0
440,378,7.5
359,394,13.5
542,894,15.0
736,571,11.0
157,314,8.0
775,147,6.0
869,344,9.0
535,380,8.0
134,399,9.0
538,486,12.0
715,713,14.5
595,563,14.0
257,348,10.5
948,346,11.5
403,462,12.0
612,904,9.0
505,608,12.0
721,591,9.5
158,574,9.0
74,82,6.5
834,903,9.0
830,134,12.5
336,316,13.5
589,401,10.5
783,602,8.0
399,536,8.0
912,466,12.0
731,453,13.0
453,145,7.0
45,315,12.0
578,629,11.0
970,459,5.5
415,90,6.5
191,304,11.0
75,744,10.0
793,352,10.5
199,49,13.5
829,585,10.5
768,454,13.0
497,760,8.5
187,855,8.0
747,277,11.5
641,410,7.5
163,711,10.5
35,226,8.5
593,341,8.0
848,823,10.0
407,326,7.5
189,580,12.5
699,900,12.0
382,588,11.0
299,938,11.5
774,121,9.0
487,889,7.0
190,485,13.0
273,540,10.0
686,678,11.5
906,124,9.0
498,72,6.5
647,821,12.0
113,146,9.0
890,865,11.5
255,630,10.5
183,904,12.0
406,764,11.0
56,173,10.5
249,391,9.0
946,141,8.5
268,592,14.0
840,947,9.0
338,764,11.5
346,353,7.0
813,794,8.5
112,318,11.5
912,140,5.5
686,520,11.5
541,865,10.0
636,753,10.0
633,966,15.0
