x,y,radius
789.7,190.7,11.5
596.3,164.3,12.0
65.2,860.3,8.0
148.2,648.6,7.5
957.2,823.5,13.5
10.3,982.9,9.5
308.0,524.3,9.5
28.8,524.5,6.0
147.1,296.5,10.5
238.7,99.6,11.0
205.1,514.0,9.0
467.5,852.0,11.0
176.8,73.3,9.5
931.6,561.8,12.0
308.9,106.5,11.0
245.7,680.0,9.0
495.3,43.7,10.0
392.6,186.7,7.0
427.3,216.1,14.0
193.0,957.4,13.0
929.4,885.7,11.5
910.5,99.6,13.5
520.6,956.1,5.5
390.9,275.9,10.0
584.9,955.5,10.5
542.3,144.5,5.0
173.0,26.8,11.5
768.4,202.9,7.0
24.3,205.2,10.5
726.0,767.7,6.5
917.8,648.1,10.0
856.2,621.0,9.5
105.5,374.0,12.5
327.6,726.4,7.0
279.2,560.0,10.0
124.5,710.5,6.5
718.2,240.2,8.0
493.9,522.3,9.0
116.7,440.2,7.5
41.7,633.4,11.0
561.7,690.6,12.5
254.1,412.1,9.5
208.7,934.4,9.5
691.5,874.0,8.5
801.3,630.5,11.0
457.2,222.7,7.5
885.1,538.6,9.5
128.5,358.7,8.5
115.5,231.7,7.0
11.5,355.8,11.0
16.3,510.5,9.5
485.2,687.6,12.5
341.2,933.2,11.0
226.1,556.6,13.0
365.9,963.8,8.5
709.1,153.4,7.5
46.6,607.3,10.5
63.1,284.4,13.0
631.3,676.5,11.5
489.6,976.9,9.0
591.6,85.9,6.0
242.9,723.7,10.0
470.8,974.7,9.0
535.1,98.1,9.5
154.2,508.1,5.0
46.7,589.7,6.5
224.2,708.2,7.0
231.7,642.4,9.5
934.4,399.0,7.0
930.6,142.6,7.0
728.4,217.5,14.5
871.7,261.6,7.5
516.3,265.6,10.0
102.9,887.7,12.0
875.7,194.3,9.0
352.4,721.2,10.5
847.8,406.8,12.0
638.5,94.5,12.5
780.8,666.3,8.0
22.4,112.2,13.5
961.8,289.3,12.5
649.1,229.5,9.5
27.7,494.0,10.0
741.3,646.5,10.5
718.1,310.6,6.5
269.4,248.6,9.0
969.3,487.0,10.0
628.9,789.8,8.5
857.2,235.3,9.5
285.6,34.8,11.0
53.2,984.2,10.5
943.5,905.3,11.5
740.3,939.5,15.0
430.1,954.5,13.0
848.4,297.1,6.5
197.1,273.1,10.0
177.8,555.4,12.5
839.7,924.4,6.5
107.6,612.0,13.0
362.2,260.3,12.5
869.1,735.5,11.0
698.4,362.3,10.0
299.4,420.9,7.0
860.5,905.8,9.0
15.6,625.2,10.5
787.8,879.5,13.5
36.1,577.4,9.0
669.6,330.6,7.0
541.9,290.2,8.5
851.8,256.2,12.0
818.1,362.1,7.0
330.3,821.0,10.5
219.5,621.3,6.5
833.8,201.7,12.0
540.2,636.1,5.0
138.6,962.0,8.0
49.3,400.6,9.0
440.6,89.4,13.0
189.1,87.2,7.5
691.9,410.9,10.5
905.2,443.7,12.0
656.2,285.4,12.5
516.5,654.9,7.0
608.9,421.6,12.5
565.1,163.4,7.0
54.2,49.0,9.0
700.0,474.6,9.0
757.8,800.5,10.5
181.7,435.6,13.0
57.5,939.7,10.5
54.9,377.2,10.5
925.2,501.0,9.5
655.8,169.0,9.0
936.8,937.1,8.0
584.0,931.0,10.5
673.6,571.9,10.0
459.0,544.8,9.5
623.8,815.0,8.5
898.1,201.3,9.0
219.2,379.2,8.0
106.2,677.7,14.5
652.5,387.8,10.5
32.8,808.2,10.0
425.8,566.5,15.0
726.8,135.5,10.5
768.7,345.3,14.0
560.8,243.0,8.5
747.9,751.5,6.0
379.2,533.9,6.0
821.9,322.6,7.0
106.4,60.6,8.0
322.4,942.4,8.5
482.8,493.1,7.0
449.3,296.5,8.0
552.3,220.2,13.0
786.6,784.7,8.5
919.7,961.9,13.0
548.5,442.8,10.5
961.2,685.0,8.0
615.5,110.3,11.5
398.4,885.2,8.5
87.2,90.6,7.0
579.5,855.1,11.0
242.7,898.3,11.5
749.8,378.0,7.0
482.0,380.1,8.5
425.5,899.4,8.5
435.6,257.9,8.5
469.2,64.3,9.0
737.9,676.3,13.0
952.5,377.5,10.5
91.7,527.8,10.5
952.6,23.4,11.5
554.5,327.3,13.0
527.1,982.6,10.5
85.6,174.2,12.0
691.4,455.5,11.0
693.2,386.4,9.5
456.4,618.1,8.5
175.3,644.4,8.5
356.7,581.7,11.5
454.5,44.5,13.0
679.7,171.7,13.5
86.8,929.5,12.5
722.8,611.9,6.5
89.4,870.6,8.0
378.9,804.3,10.0
976.1,379.1,9.5
836.0,832.2,9.0
46.1,141.2,10.0
809.1,993.7,6.0
904.5,583.4,10.5
937.2,843.7,8.5
244.2,208.6,6.0
943.2,603.6,12.0
476.7,824.7,10.0
846.9,551.1,7.5
95.0,787.1,8.0
141.3,38.2,10.0
781.5,637.8,5.5
218.1,142.9,9.0
633.0,553.3,13.5
897.3,350.8,8.5
452.0,901.4,11.0
619.3,854.0,11.5
791.1,460.1,9.0
492.3,263.1,10.0
349.7,213.5,7.5
137.0,136.2,11.0
402.3,693.7,10.0
187.9,348.6,9.5
865.7,514.9,11.5
179.5,199.1,11.0
351.4,43.5,12.5
129.7,461.7,12.0
885.2,137.3,11.5
687.0,47.6,9.0
511.3,166.2,13.5
801.0,744.0,8.5
977.0,535.9,9.5
484.8,616.0,9.5
530.8,717.2,7.5
48.7,258.9,13.0
683.2,837.2,10.5
247.4,273.6,9.5
834.9,96.2,8.5
130.4,879.6,14.0
474.3,357.0,6.5
498.5,97.2,12.5
584.7,739.3,12.5
562.8,381.8,12.5
366.0,642.9,10.5
248.2,498.3,7.5
603.6,242.7,10.5
67.2,833.4,13.0
524.2,411.5,6.0
989.8,890.7,7.5
957.3,856.0,13.0
720.2,817.0,6.0
556.0,570.7,6.5
961.4,708.0,7.0
507.5,247.3,9.5
703.1,762.4,10.0
60.8,339.9,10.0
547.8,548.1,8.5
754.8,593.6,10.5
604.2,789.0,9.0
920.1,823.3,11.0
409.4,928.6,5.0
934.0,184.4,5.0
918.8,717.6,9.0
775.9,821.4,10.0
205.8,168.4,7.0
191.1,239.7,7.5
522.7,361.4,9.0
587.4,681.2,5.0
440.0,378.8,7.5
359.3,394.4,13.5
542.2,894.3,15.0
736.1,571.5,11.0
157.2,314.7,8.0
775.2,147.4,6.0
568.6,757.7,9.0
750.3,109.7,8.5
116.1,841.6,7.0
601.5,502.2,12.0
156.6,234.4,9.5
765.9,22.9,11.0
689.9,541.8,10.5
597.0,820.3,10.0
402.8,462.8,10.0
612.9,904.4,9.0
505.7,608.8,12.0
721.8,591.2,9.5
158.8,574.9,9.0
74.5,82.8,6.5
834.3,903.3,9.0
830.4,134.0,12.5
336.7,316.5,13.5
589.4,401.1,10.5
783.2,602.1,8.0
399.8,536.8,8.0
912.8,466.5,12.0
731.3,453.5,13.0
453.1,145.9,7.0
45.1,316.0,12.0
578.8,629.4,11.0
970.3,459.4,5.5
415.7,90.7,6.5
191.4,304.0,11.0
75.7,745.0,10.0
793.5,352.5,10.5
199.0,49.1,13.5
829.5,585.6,10.5
768.4,454.5,13.0
533.9,481.4,8.5
188.3,854.5,10.0
747.4,277.5,11.5
641.8,410.1,7.5
163.4,711.4,10.5
35.1,226.7,8.5
593.5,341.8,8.0
399.2,664.7,10.0
409.2,329.3,15.0
189.4,581.0,12.5
699.1,900.8,12.0
382.3,588.3,11.0
299.2,938.1,11.5
774.7,121.2,9.0
487.6,889.0,7.0
190.4,485.2,13.0
273.3,540.8,10.0
686.8,679.0,11.5
906.8,124.6,9.0
498.1,72.8,6.5
647.8,821.8,12.0
113.7,146.5,9.0
890.8,865.3,11.5
256.0,630.3,10.5
183.2,904.5,12.0
406.5,765.0,11.0
56.5,173.3,10.5
249.9,391.3,9.0
946.4,141.2,8.5
268.9,592.4,14.0
840.2,947.0,9.0
338.1,764.7,11.5
346.6,353.6,7.0
813.7,794.3,8.5
112.2,318.9,11.5
912.7,140.8,5.5
753.1,718.9,11.5
489.6,226.2,9.0
62.4,665.8,12.0
908.0,42.3,9.0
121.4,423.0,8.0
840.1,321.5,6.5
642.1,647.6,8.5
234.3,126.6,8.0
441.7,405.6,6.0
784.9,322.4,10.0
519.7,428.4,10.5
238.6,34.4,10.5
30.4,867.6,9.5
385.7,926.1,7.5
991.0,352.8,7.0
480.2,579.1,10.0
974.4,762.9,10.0
338.5,522.2,6.5
356.1,289.4,5.0
282.6,900.5,12.0
676.2,223.6,9.5
793.5,262.6,7.5
419.6,870.0,12.0
983.8,740.7,5.5
235.4,936.5,7.0
236.3,183.3,10.5
626.7,223.1,12.0
182.0,398.8,12.5
889.5,464.1,10.0
591.0,578.4,10.5
458.4,393.6,11.0
804.9,652.9,7.5
258.3,16.5,11.5
716.7,496.0,15.0
224.9,680.1,8.5
980.2,71.6,11.5
272.9,869.2,12.5
164.5,167.5,10.5
829.9,693.3,10.5
193.9,875.9,7.5
866.6,35.8,7.0
12.6,554.9,11.5
507.3,17.7,11.5
90.3,329.0,7.5
627.9,267.0,15.0
32.9,434.3,15.0
344.4,630.5,8.0
179.6,766.0,9.0
305.3,703.6,11.0
846.4,981.8,8.5
960.0,744.9,9.5
165.4,469.1,9.5
427.4,452.2,8.5
526.5,819.7,9.5
676.5,651.1,11.0
860.7,954.0,10.0
421.8,634.9,13.0
315.0,323.6,8.0
371.2,857.1,10.0
