attempts,count
0,564
1,198
2,107
3,85
4,54
5,43
6,38
7,31
8,18
9,27
10,27
11,17
12,15
13,8
14,12
15,9
16,12
17,8
18,10
19,11
20,2
21,5
22,4
23,9
24,4
25,7
26,3
27,5
28,4
29,1
30,6
31,3
32,5
33,5
34,1
35,3
36,1
37,6
38,2
39,1
40,2
41,4
42,4
44,1
45,2
46,3
47,2
48,1
50,3
51,1
52,1
53,1
54,5
55,1
56,2
58,2
59,1
60,1
61,1
62,3
63,1
64,2
65,2
66,1
67,2
68,3
69,2
70,1
71,1
76,1
77,2
79,2
81,1
82,2
84,1
85,4
86,1
87,1
88,1
90,2
91,1
94,2
97,2
98,1
99,1
100,1
104,2
106,1
107,1
108,1
111,1
112,1
113,1
115,1
116,1
120,1
121,1
124,2
128,3
131,1
132,1
134,1
147,1
150,1
152,2
169,1
181,1
196,1
198,1
199,2
202,1
203,1
204,1
215,1
221,1
224,1
226,1
229,1
234,1
235,1
237,1
243,1
246,1
252,1
253,1
255,1
262,1
263,1
268,1
274,2
306,1
318,1
319,1
334,2
341,1
356,1
357,1
361,1
366,1
368,1
371,1
376,1
386,1
403,1
404,1
406,1
427,1
458,1
467,1
468,1
476,1
560,2
573,1
583,1
588,1
596,1
597,1
656,1
700,1
704,1
738,1
788,1
789,1
934,1
947,1
971,1
988,1
992,1
993,1
1008,1
1136,1
1194,1
1216,1
1252,1
1287,1
1329,1
1360,1
1470,1
1577,1
1584,1
1585,1
1640,1
1817,1
1914,1
1996,1
2126,1
2195,1
2763,1
3340,1
3454,1
3531,1
3697,1
3914,1
4022,1
4226,1
4429,1
4789,1
5007,1
5070,1
5975,1
6115,1
6335,1
7692,1
9097,1
9658,1
12763,1
16437,1
19493,1
19924,1
25928,1
26974,1
29626,1
30076,1
30333,1
31597,1
41534,1
42637,1
83279,1
83612,1
100561,1
185303,1
216367,1
242184,1
266105,1
469362,1
859969,1
941947,1
