attempts,count
0,559
1,201
2,101
3,86
4,61
5,48
6,28
7,25
8,28
9,26
10,12
11,15
12,8
13,21
14,13
15,15
16,5
17,4
18,4
19,3
20,6
21,6
22,4
23,4
24,9
25,7
26,9
27,1
28,4
29,3
30,6
31,4
32,2
33,4
34,2
35,2
36,3
37,2
38,2
39,4
40,3
41,2
42,5
43,4
44,3
45,2
46,2
47,2
48,3
49,2
51,1
53,4
54,1
56,3
57,2
58,2
59,1
60,1
61,1
62,2
63,2
64,2
65,2
67,2
68,2
73,2
74,2
75,1
76,1
77,1
80,2
81,2
82,1
84,1
85,1
86,1
88,1
89,2
92,1
93,1
95,1
97,1
101,1
102,1
103,2
106,1
107,1
109,1
110,1
113,1
115,1
117,1
118,1
122,1
123,1
125,1
127,1
129,1
130,3
131,1
139,1
145,1
148,2
150,2
151,1
157,1
158,1
162,1
169,1
174,1
180,1
184,1
186,1
197,1
201,2
202,1
205,1
211,1
217,2
222,1
224,2
227,1
231,1
232,1
234,1
236,2
237,1
245,1
258,1
261,2
267,1
274,1
284,1
286,1
295,1
303,1
304,1
314,1
324,1
326,1
332,1
362,1
366,1
375,1
386,1
394,1
397,1
405,1
410,1
424,1
429,1
433,1
438,1
447,1
464,1
465,1
510,1
535,1
597,1
609,1
619,1
620,1
653,1
728,1
816,1
857,1
873,1
880,1
904,1
954,1
988,1
1007,2
1015,1
1031,1
1078,1
1144,1
1171,1
1243,1
1291,1
1377,1
1406,1
1446,1
1624,1
1671,1
1751,1
1923,1
1925,1
1998,1
2322,1
2426,1
2451,1
2635,1
2704,1
2990,1
3049,1
3107,1
3383,1
3456,1
3864,1
3976,1
4090,1
4513,1
4537,1
4788,1
5171,1
5667,1
5882,1
6760,1
7836,1
8214,1
9117,1
9795,1
13503,1
13941,1
14054,1
14728,1
14986,1
15190,1
18454,1
27789,1
28179,1
30269,1
31429,1
33100,1
40617,1
57591,1
91160,1
132915,1
166335,1
328635,1
