x,y,radius
3967,933,25.0
2989,794,20.5
309,4315,21.5
732,3246,25.5
4827,4146,23.0
924,931,23.5
3053,55,20.0
1464,3054,21.0
252,4848,21.0
2282,3909,28.0
2570,2956,29.5
4282,3392,24.0
346,4722,24.0
2812,1933,29.0
510,3411,27.5
626,2476,22.0
4526,1305,24.5
2599,2731,21.0
177,4196,22.0
4671,4450,29.5
458,992,20.0
4782,4205,25.5
1370,4124,29.5
4798,3028,30.0
722,3996,24.5
101,2120,24.5
1011,56,29.0
1007,3547,22.5
3841,392,26.5
3247,4554,24.5
2249,494,22.0
1635,3635,28.0
1385,2802,27.5
618,3554,27.5
3598,1191,22.5
227,3541,27.5
148,557,23.0
3175,1581,25.0
3468,713,23.0
3764,1158,26.0
2989,3464,23.0
4630,4027,21.0
546,2284,24.0
2087,4393,29.5
4022,4461,24.0
4517,1370,20.5
27,1770,24.5
59,2553,25.5
620,1697,28.0
857,1107,23.5
2024,347,27.0
4787,1272,27.0
1514,1435,26.5
1345,4859,24.5
278,1403,23.5
3166,3396,20.0
4905,1222,23.0
421,1853,20.5
1845,3155,23.5
2677,468,20.5
772,2540,26.5
227,2949,26.0
1116,3543,28.0
3217,890,28.5
1993,2587,27.0
703,1712,22.5
4606,4371,20.0
1158,893,28.5
2582,1315,24.0
485,4467,24.0
4392,960,26.5
1754,3616,29.0
4264,2027,24.0
3204,438,21.5
3910,3335,28.0
74,530,29.0
45,817,20.5
2428,2244,23.5
1201,1637,29.5
1838,3709,24.0
1550,2710,26.0
1845,1339,28.0
2944,4868,27.0
3148,3958,26.5
2881,2462,20.5
2496,2856,24.5
902,4679,25.5
1407,4399,23.0
96,4624,20.0
4808,4793,26.5
1481,1930,22.0
1354,2427,26.5
2780,4655,28.5
2846,508,28.5
3348,1799,21.5
2590,4365,28.5
4224,702,27.0
2761,1494,29.0
4034,4316,26.0
433,55,30.0
378,1989,28.0
4414,160,24.0
491,2887,26.0
1648,790,21.5
1444,2949,26.5
208,4097,23.5
2683,1640,21.0
1091,3109,21.0
4193,986,24.0
682,4824,25.0
3961,1365,25.0
3706,1268,27.5
3471,2048,21.5
2743,3562,23.5
4654,3185,21.0
3679,2769,21.5
3640,257,20.5
1785,3778,20.5
602,256,29.0
4262,3509,21.5
108,3804,24.0
2368,882,24.5
3241,261,24.0
4414,1315,24.0
4642,2505,28.0
3284,834,29.0
4701,4703,20.5
2923,4676,28.5
3375,2862,30.0
2293,2725,23.5
3124,4088,22.0
4507,993,23.5
1086,1892,24.5
374,1602,21.5
3397,1712,30.0
2480,3453,29.0
4664,216,22.0
4814,2737,25.5
3741,4019,23.5
3647,655,22.5
3869,1711,22.5
2806,1206,26.5
3742,3760,23.5
1895,2669,28.5
1952,1496,20.5
1950,74,21.0
4220,1780,22.0
2863,3152,27.0
1477,1652,27.0
1078,4708,25.0
3932,478,27.5
4847,4954,25.0
3519,4820,24.5
3792,3084,28.5
4175,2134,25.0
1988,4438,26.5
427,444,25.0
2901,4293,30.0
1198,4515,28.0
3755,1886,23.0
2409,1895,24.0
2125,4510,26.5
2175,1282,28.5
2854,3695,20.0
608,3237,27.0
2913,4791,21.0
2389,437,27.5
1129,4796,21.5
4824,240,27.0
240,4601,25.5
1275,3469,20.5
1482,4954,25.0
2916,4481,30.0
4558,4773,22.0
4432,2280,23.5
1685,862,22.0
2320,1774,27.0
1342,1809,28.0
2268,180,20.5
4052,3413,26.5
686,405,28.5
4728,3618,23.0
4572,437,28.0
2755,838,21.5
1889,4035,28.0
1890,3733,28.5
4193,4175,24.5
690,96,29.0
4305,4049,24.5
4960,2774,23.0
4698,4228,28.0
1218,1040,26.0
3025,1158,27.5
3771,258,26.5
585,3349,23.0
2382,4142,21.0
4245,2757,22.5
458,3947,20.5
688,167,25.0
3909,3189,24.5
1080,701,27.5
4880,3035,22.5
2770,479,29.5
1748,2569,24.5
1987,3105,22.0
3479,3969,22.0
1305,2298,30.0
3097,1744,25.0
3159,1214,26.5
666,662,30.0
2006,3478,24.0
923,1734,21.5
4355,2575,21.5
974,224,22.0
1402,898,21.5
2741,2670,23.5
1044,1827,22.5
3442,220,25.5
2406,3430,23.0
799,1891,22.0
1393,4017,21.5
939,1062,27.0
4600,1192,23.0
2654,3592,22.0
202,1272,21.0
4457,2557,23.0
173,4319,22.0
2661,1227,28.5
1892,125,26.0
4185,468,27.0
1178,1722,24.0
3386,3930,26.5
2398,2917,23.5
2929,3713,27.5
1695,4478,25.0
2850,1787,25.5
529,782,26.0
2439,4235,27.0
302,4193,27.0
2621,2056,23.5
1993,4826,22.0
53,4849,27.0
868,3336,21.0
2673,2384,25.5
4817,3544,23.5
2537,1225,26.5
3527,3827,21.5
2902,789,25.0
2661,279,23.0
2740,2742,22.0
1620,4034,24.0
711,37,24.5
2359,2063,23.0
4628,4138,22.5
640,3642,25.0
1037,1901,20.5
3890,4120,29.5
1025,838,29.5
4055,3317,27.0
4517,1590,27.0
3406,2262,23.5
1891,2315,27.0
2696,2197,30.0
1924,2715,20.5
3115,602,24.0
3459,849,23.5
2665,4446,29.5
4961,3748,27.0
3709,187,21.5
3558,2470,26.5
530,2680,20.0
1991,3971,26.0
2432,2049,25.0
3589,3198,24.5
2823,3568,29.0
1735,922,23.5
1720,1149,23.5
2312,4712,27.0
4539,712,23.5
1294,3617,29.0
2822,3473,26.0
140,3248,26.5
2878,3029,20.0
409,542,26.5
4607,2256,24.0
4895,4174,30.0
4170,1669,25.5
1152,3033,29.0
299,1685,28.5
3924,3013,25.0
1996,2684,29.0
1739,1742,26.0
2931,187,24.5
725,901,30.0
845,195,27.5
3889,1398,23.5
91,3309,26.5
4855,2296,23.5
4286,2673,23.0
2510,2973,20.5
3737,1064,25.0
1755,2343,29.5
2361,2820,28.5
1482,3557,29.0
2620,2207,28.0
2485,3812,26.0
1680,400,27.5
3212,2048,25.0
4181,4316,25.0
162,1125,28.5
995,2527,24.0
539,3985,24.0
4416,2780,27.0
518,1229,27.0
3011,4020,22.5
1990,3332,24.5
2037,1630,29.5
93,451,29.0
4224,631,23.5
3207,3509,24.5
3116,1688,27.5
1905,2946,30.0
3114,2051,27.0
1819,4290,21.0
4722,3806,22.0
2825,4901,26.5
3986,2129,20.5
2561,3694,29.5
3159,1302,28.0
4155,4893,29.0
4484,3447,22.5
114,4552,23.5
4060,2490,24.0
2768,3249,26.0
3588,555,28.5
704,4478,27.5
3650,1264,22.0
3317,891,22.5
4175,2026,22.5
2593,262,30.0
4773,935,21.0
3010,1238,23.5
4170,2188,22.5
3598,3047,21.0
2381,3309,28.5
691,2419,22.5
176,1321,21.5
4757,787,20.5
3842,550,22.5
2068,3514,24.0
4081,3983,22.5
4816,49,23.0
1813,482,29.5
4791,3937,21.0
2232,942,26.0
4767,3778,26.0
3451,4227,26.5
4497,3226,24.0
4909,4693,30.0
2367,1572,22.0
3476,1498,28.0
594,2112,23.5
3713,295,24.0
1602,4131,20.0
3242,1831,29.0
620,404,23.5
2208,2027,25.5
3938,1603,25.5
2599,2138,27.0
2091,2311,25.5
132,4352,27.5
1924,4645,20.5
69,283,22.5
212,2399,26.0
1369,1996,24.5
2092,2110,20.5
3652,36,20.0
1780,1447,25.5
1396,4532,23.5
568,1964,27.5
4722,3914,30.0
4405,2999,20.0
3060,854,28.5
1171,4691,24.5
3032,2562,28.5
947,3884,24.5
3989,3142,23.5
4397,4614,28.5
2575,2456,30.0
3107,3725,28.0
4364,1342,30.0
2384,246,27.5
3268,2751,26.0
1417,1274,23.0
3607,2479,22.5
3408,399,22.5
331,4393,27.5
4509,2852,28.5
1344,4377,20.5
4324,1237,22.0
4320,3532,21.5
1207,4628,26.0
808,4387,22.5
2328,4378,22.5
3703,822,28.0
2777,3769,26.0
59,1446,27.5
4880,3152,26.0
1888,66,22.0
3792,2704,24.0
4181,1966,28.5
4636,534,27.5
3840,4713,25.5
3529,359,26.5
2369,311,24.5
4247,4931,20.0
4823,3737,22.5
3778,146,24.5
4094,1864,21.0
1275,32,27.0
1377,4964,21.5
530,4253,25.0
4111,1502,27.5
432,3393,25.0
4318,4788,29.5
2165,4693,28.0
3787,2214,24.0
2809,2359,30.0
4323,3868,26.0
4207,3792,24.0
1479,4541,21.0
3966,2408,28.0
2985,3030,30.0
2789,1140,23.5
2905,1356,24.0
1562,2278,28.0
2325,3391,28.5
2400,2995,23.5
3277,3773,23.5
3886,218,22.5
3731,749,28.0
4905,733,29.0
2412,1065,24.0
2795,73,25.0
386,2669,28.0
433,4106,25.0
1989,682,25.5
1019,3456,25.0
540,3176,22.5
3058,1505,27.0
3991,1706,29.0
2762,2982,24.0
2263,3212,20.0
836,2195,24.0
2962,3244,23.0
4342,1108,22.5
2352,3710,22.0
3934,3285,24.5
827,132,29.0
4953,4847,28.0
2022,1119,30.0
1033,4184,26.0
4322,3624,26.0
4214,3137,23.5
4916,220,22.0
173,1983,28.5
2983,3950,25.0
1430,1803,27.0
3108,3150,26.5
3567,4522,28.0
4833,920,24.5
370,2189,29.0
2029,2960,22.0
1803,2960,25.0
1300,3277,20.5
3852,675,28.0
1197,1185,23.5
2212,1662,24.5
1693,4127,25.0
3522,853,28.0
1901,3023,20.0
3312,2374,20.5
4012,2922,26.5
2787,2697,28.5
1360,308,26.0
1170,284,28.5
629,2263,25.0
462,535,24.0
3430,1992,27.5
4735,3188,26.0
2275,2577,20.0
1720,2659,23.0
172,1548,24.0
4676,3652,25.5
4824,491,26.5
2221,4320,27.0
4867,1878,27.0
1234,4136,26.5
2849,176,26.0
3961,4570,27.5
1090,3287,21.5
1750,812,24.0
1598,4316,21.0
3747,475,28.5
3680,4373,25.0
3813,4608,23.5
3800,3976,20.5
4322,1885,30.0
3238,1649,23.0
1838,1985,24.0
2978,2726,20.0
1149,387,25.0
3782,2502,26.5
4296,2594,27.5
4050,567,29.5
1999,2896,28.0
2384,1976,20.5
4050,3580,23.0
3230,4471,23.5
3266,1906,24.0
4654,1764,20.5
845,3081,20.5
1436,1547,29.0
2659,2901,21.5
3045,3568,28.5
4862,4101,22.5
920,3397,23.5
1485,3953,23.0
4791,2418,25.5
2631,578,22.0
3003,4080,24.0
1151,1072,20.5
887,1809,21.5
4482,1773,22.0
1289,1519,24.0
4095,2122,27.5
4033,3821,23.0
2261,2929,22.5
1190,4325,27.5
908,1570,25.0
3030,2731,22.0
1296,3153,25.0
2484,4910,29.5
2144,3576,26.0
100,1712,22.0
540,3610,25.0
4503,3847,29.5
973,1625,23.5
1725,3079,25.5
2594,360,25.5
373,3193,27.5
4381,3246,25.5
1629,1672,22.5
279,1897,20.0
2786,3641,25.0
1674,2898,21.0
3439,1020,27.0
504,2254,26.0
29,1513,23.5
1187,2002,27.5
128,3671,29.5
2697,4193,24.0
3111,466,26.0
4305,3037,24.0
3896,3533,25.0
605,1149,22.5
4661,2766,27.0
4111,1408,23.0
4574,2484,26.5
1961,2505,30.0
2696,3134,22.0
726,1075,27.5
429,2020,30.0
2861,4642,24.5
4289,4589,29.0
4129,1597,26.0
1998,750,26.5
631,2392,29.5
2744,4803,27.0
4365,1397,20.0
3196,1094,25.5
3242,780,29.0
2818,974,25.5
310,4952,22.0
2155,870,25.5
3899,1338,25.5
3449,337,30.0
3160,1156,21.5
1542,3112,29.0
2133,670,23.0
2028,3263,22.0
2626,2408,21.5
3658,3835,20.5
1253,684,21.0
121,1312,27.0
3395,964,25.5
1089,84,24.5
4860,3995,20.0
234,1862,23.0
3223,2496,24.0
511,2441,26.0
3250,4036,27.0
1977,2299,26.5
4755,686,28.5
3432,2190,22.0
1407,4630,24.0
4487,2309,26.5
3289,4457,23.0
3064,353,23.0
4396,544,20.5
2219,261,25.0
3719,3288,22.5
376,83,23.5
3675,1773,25.5
1780,2064,23.0
1335,125,21.5
2572,4476,22.0
3834,3117,22.5
3328,76,25.0
3070,3861,22.0
4460,1619,23.5
2373,591,28.0
4577,2602,28.5
3275,656,21.5
569,2988,20.5
1867,2164,28.0
834,1380,24.5
625,1001,23.5
3222,1438,21.5
1595,4373,29.5
4577,1271,20.0
1118,4869,23.5
2722,4898,26.0
2696,3630,20.5
4071,1083,27.0
4188,3653,22.0
3778,3704,25.0
1495,2822,20.0
4350,3175,21.0
2172,820,23.5
4041,3695,27.0
4934,515,25.0
1564,3699,25.0
3069,3430,22.5
3905,2768,24.0
4145,82,27.5
4767,1846,25.0
3770,4195,21.0
4364,4957,24.5
1932,3209,24.5
1963,2068,28.5
907,168,25.0
1784,3957,23.5
288,2433,27.5
409,317,28.5
3716,4883,27.0
3928,2585,24.5
1873,629,23.0
2174,467,30.0
338,3989,29.5
3658,1505,21.5
2110,3173,26.0
3688,4730,23.5
935,1816,20.5
840,3492,21.5
2589,1503,24.0
1143,1891,28.5
948,3996,28.0
2415,687,27.0
269,4501,22.0
3885,62,28.0
812,3045,27.0
1999,4589,28.0
4762,363,22.0
1419,1318,20.0
1387,3923,21.0
