x,y,radius
386,104,19.5
295,91,19.5
65,231,19.5
296,345,19.5
46,351,21.0
117,103,20.0
304,301,19.5
218,153,19.5
203,41,20.0
188,229,21.0
304,196,20.5
292,40,19.5
333,227,19.0
456,464,19.5
199,103,20.0
407,226,20.5
431,295,20.0
59,109,19.0
462,408,20.0
144,401,19.5
146,156,19.5
54,473,20.0
347,383,20.0
54,184,20.0
190,327,19.5
355,313,19.5
352,128,19.0
247,260,19.5
112,432,19.5
437,134,20.5
339,424,20.5
420,389,20.0
211,427,19.0
392,432,19.0
95,265,20.0
174,454,19.0
471,203,20.5
61,404,20.0
253,340,19.0
27,255,19.5
258,405,20.0
138,323,20.5
472,257,19.5
130,62,19.5
22,93,20.0
478,100,19.0
131,468,19.5
374,38,18.5
155,197,19.5
143,243,21.0
276,450,20.0
447,52,20.5
429,175,20.5
109,209,20.0
55,30,19.0
336,46,19.5
91,135,20.0
308,398,19.0
389,149,20.0
214,281,19.5
248,199,19.5
24,437,19.0
246,58,20.5
85,370,19.5
220,389,19.0
305,147,19.5
240,473,19.5
394,480,19.0
354,271,19.5
170,75,20.0
397,350,20.0
253,130,19.0
447,352,19.0
83,65,19.5
114,25,20.0
312,470,20.5
340,176,20.5
294,261,20.0
340,90,20.0
170,277,20.5
67,312,19.5
415,23,19.0
477,324,20.0
21,158,20.5
24,211,19.0
162,361,19.5
355,470,21.0
371,207,19.5
20,312,19.5
407,64,20.0
258,299,19.5
22,390,20.0
163,27,20.0
475,163,19.5
477,24,20.0
397,274,19.5
20,50,20.5
194,185,19.5
161,120,19.5
436,93,20.5
237,19,19.5
269,166,19.5
123,361,19.5
202,480,19.0
183,400,19.5
93,478,19.0
431,433,19.5
480,372,19.5
433,256,19.0
130,284,19.0
110,170,19.0
276,226,19.0
