attempts,count
0,35
1,13
2,2
3,8
4,3
5,6
6,4
8,1
9,2
10,2
11,4
15,1
16,3
18,1
19,1
20,1
21,1
24,2
26,2
27,1
30,1
36,1
37,1
38,1
41,2
44,1
45,2
49,1
50,1
55,1
66,1
68,1
71,2
72,1
74,1
84,1
87,1
88,1
89,2
90,1
98,1
101,1
111,2
114,1
129,3
133,1
140,1
151,1
158,3
161,1
181,1
183,1
188,1
196,1
199,1
259,1
267,1
292,1
313,1
335,1
371,1
378,1
381,1
398,1
434,1
457,1
470,1
499,1
500,1
513,1
522,1
529,1
531,1
539,1
560,1
566,1
625,1
633,1
640,1
662,1
700,1
796,1
800,1
831,1
970,1
994,1
1017,1
1068,1
1095,1
1203,1
1273,1
1295,1
1447,1
1467,1
1652,1
2168,1
2287,1
2320,1
2343,1
2382,1
2665,1
2810,1
3313,1
3627,1
4553,1
5751,1
5875,1
6378,1
6741,1
7836,1
8257,1
8549,1
11353,1
11567,1
12582,1
13362,1
14627,1
16619,1
17341,1
17824,1
20532,1
20841,1
26034,1
28868,1
29138,1
32630,1
38503,1
43286,1
46621,1
49223,1
50727,1
57123,1
57147,1
64630,1
73885,1
100716,1
