attempts,count
0,119
1,62
2,29
3,19
4,16
5,12
6,12
7,7
8,1
9,2
10,7
11,6
12,5
13,3
14,3
15,4
16,2
17,4
18,3
19,6
20,3
21,1
22,2
23,2
24,4
25,3
27,1
28,4
29,2
30,1
31,3
33,2
36,1
37,1
38,1
40,1
41,1
43,3
44,2
45,1
47,1
48,1
49,1
51,1
53,2
55,3
56,1
57,1
58,1
60,1
61,1
66,1
68,1
71,1
72,1
73,1
79,1
80,1
82,2
88,1
91,1
92,2
93,2
102,1
104,1
106,2
112,1
117,2
121,1
129,1
130,1
136,1
139,1
149,1
155,1
156,1
160,1
162,1
163,1
164,1
178,1
188,1
214,1
217,1
225,1
238,1
240,1
245,1
246,1
249,1
255,1
256,1
270,1
286,1
303,1
317,1
319,1
325,1
330,1
332,1
338,1
348,2
386,1
388,1
403,1
405,1
425,1
466,2
476,1
524,1
541,1
545,1
550,1
562,1
620,1
644,1
661,1
669,1
714,1
715,1
731,1
746,1
748,1
772,1
832,1
893,1
922,1
931,1
940,1
945,1
987,1
1000,1
1065,1
1211,1
1249,1
1250,1
1266,1
1341,1
1435,1
1452,1
1539,1
1564,1
1949,1
2132,1
2145,1
2219,1
2464,1
2505,1
2561,1
2639,1
2759,1
3054,1
3233,1
3304,1
3337,1
3423,1
3435,1
3622,1
3838,1
4075,1
4795,1
5261,1
5432,1
5850,1
6696,1
6954,1
7357,1
12150,1
13382,1
13513,1
14642,1
16075,1
17381,1
19112,1
19129,1
19395,1
21047,1
24553,1
40961,1
41612,1
43987,1
47846,1
59524,1
60075,1
60897,1
67868,1
77103,1
128043,1
135882,1
260415,1
308927,1
568419,1
